P_sat,T
203350,311.35
203420,311.36
203480,311.37
203550,311.38
203610,311.39
203680,311.4
203750,311.41
203810,311.42
203880,311.43
203940,311.44
204010,311.45
204080,311.46
204140,311.47
204210,311.48
204270,311.49
204340,311.5
204410,311.51
204470,311.52
204540,311.53
204610,311.54
204670,311.55
204740,311.56
204800,311.57
204870,311.58
204940,311.59
205000,311.6
205070,311.61
205140,311.62
205200,311.63
205270,311.64
205330,311.65
205400,311.66
205470,311.67
205530,311.68
205600,311.69
205670,311.7
205730,311.71
205800,311.72
205870,311.73
205930,311.74
206000,311.75
206070,311.76
206130,311.77
206200,311.78
206270,311.79
206330,311.8
206400,311.81
206470,311.82
206530,311.83
206600,311.84
206670,311.85
206730,311.86
206800,311.87
206870,311.88
206930,311.89
207000,311.9
207070,311.91
207130,311.92
207200,311.93
207270,311.94
207330,311.95
207400,311.96
207470,311.97
207530,311.98
207600,311.99
207670,312
207740,312.01
207800,312.02
207870,312.03
207940,312.04
208000,312.05
208070,312.06
208140,312.07
208210,312.08
208270,312.09
208340,312.1
208410,312.11
208470,312.12
208540,312.13
208610,312.14
208680,312.15
208740,312.16
208810,312.17
208880,312.18
208940,312.19
209010,312.2
209080,312.21
209150,312.22
209210,312.23
209280,312.24
209350,312.25
209420,312.26
209480,312.27
209550,312.28
209620,312.29
209690,312.3
209750,312.31
209820,312.32
209890,312.33
209960,312.34
210020,312.35
210090,312.36
210160,312.37
210230,312.38
210290,312.39
210360,312.4
210430,312.41
210500,312.42
210560,312.43
210630,312.44
210700,312.45
210770,312.46
210830,312.47
210900,312.48
210970,312.49
211040,312.5
211110,312.51
211170,312.52
211240,312.53
211310,312.54
211380,312.55
211450,312.56
211510,312.57
211580,312.58
211650,312.59
211720,312.6
211790,312.61
211850,312.62
211920,312.63
211990,312.64
212060,312.65
212130,312.66
212190,312.67
212260,312.68
212330,312.69
212400,312.7
212470,312.71
212530,312.72
212600,312.73
212670,312.74
212740,312.75
212810,312.76
212880,312.77
212940,312.78
213010,312.79
213080,312.8
213150,312.81
213220,312.82
213280,312.83
213350,312.84
213420,312.85
213490,312.86
213560,312.87
213630,312.88
213700,312.89
213760,312.9
213830,312.91
213900,312.92
213970,312.93
214040,312.94
214110,312.95
214180,312.96
214240,312.97
214310,312.98
214380,312.99
214450,313
214520,313.01
214590,313.02
214660,313.03
214720,313.04
214790,313.05
214860,313.06
214930,313.07
215000,313.08
215070,313.09
215140,313.1
215210,313.11
215270,313.12
215340,313.13
215410,313.14
215480,313.15
215550,313.16
215620,313.17
215690,313.18
215760,313.19
215830,313.2
215890,313.21
215960,313.22
216030,313.23
216100,313.24
216170,313.25
216240,313.26
216310,313.27
216380,313.28
216450,313.29
216520,313.3
216590,313.31
216650,313.32
216720,313.33
216790,313.34
216860,313.35
216930,313.36
217000,313.37
217070,313.38
217140,313.39
217210,313.4
217280,313.41
217350,313.42
217420,313.43
217490,313.44
217560,313.45
217630,313.46
217690,313.47
217760,313.48
217830,313.49
217900,313.5
217970,313.51
218040,313.52
218110,313.53
218180,313.54
218250,313.55
218320,313.56
218390,313.57
218460,313.58
218530,313.59
218600,313.6
218670,313.61
218740,313.62
218810,313.63
218880,313.64
218950,313.65
219020,313.66
219090,313.67
219160,313.68
219230,313.69
219300,313.7
219370,313.71
219440,313.72
219510,313.73
219580,313.74
219650,313.75
219720,313.76
219790,313.77
219860,313.78
219930,313.79
220000,313.8
220070,313.81
220140,313.82
220210,313.83
220280,313.84
220350,313.85
220420,313.86
220490,313.87
220560,313.88
220630,313.89
220700,313.9
220770,313.91
220840,313.92
220910,313.93
220980,313.94
221050,313.95
221120,313.96
221190,313.97
221260,313.98
221330,313.99
221400,314
221470,314.01
221540,314.02
221610,314.03
221680,314.04
221750,314.05
221820,314.06
221890,314.07
221960,314.08
222030,314.09
222100,314.1
222170,314.11
222240,314.12
222320,314.13
222390,314.14
222460,314.15
222530,314.16
222600,314.17
222670,314.18
222740,314.19
222810,314.2
222880,314.21
222950,314.22
223020,314.23
223090,314.24
223160,314.25
223230,314.26
223300,314.27
223380,314.28
223450,314.29
223520,314.3
223590,314.31
223660,314.32
223730,314.33
223800,314.34
223870,314.35
223940,314.36
224010,314.37
224080,314.38
224160,314.39
224230,314.4
224300,314.41
224370,314.42
224440,314.43
224510,314.44
224580,314.45
224650,314.46
224720,314.47
224800,314.48
224870,314.49
224940,314.5
225010,314.51
225080,314.52
225150,314.53
225220,314.54
225290,314.55
225370,314.56
225440,314.57
225510,314.58
225580,314.59
225650,314.6
225720,314.61
225790,314.62
225870,314.63
225940,314.64
226010,314.65
226080,314.66
226150,314.67
226220,314.68
226290,314.69
226370,314.7
226440,314.71
226510,314.72
226580,314.73
226650,314.74
226720,314.75
226800,314.76
226870,314.77
226940,314.78
227010,314.79
227080,314.8
227150,314.81
227230,314.82
227300,314.83
227370,314.84
227440,314.85
227510,314.86
227580,314.87
227660,314.88
227730,314.89
227800,314.9
227870,314.91
227940,314.92
228020,314.93
228090,314.94
228160,314.95
228230,314.96
228300,314.97
228380,314.98
228450,314.99
228520,315
228590,315.01
228660,315.02
228740,315.03
228810,315.04
228880,315.05
228950,315.06
229030,315.07
229100,315.08
229170,315.09
229240,315.1
229310,315.11
229390,315.12
229460,315.13
229530,315.14
229600,315.15
229680,315.16
229750,315.17
229820,315.18
229890,315.19
229970,315.2
230040,315.21
230110,315.22
230180,315.23
230260,315.24
230330,315.25
230400,315.26
230470,315.27
230550,315.28
230620,315.29
230690,315.3
230760,315.31
230840,315.32
230910,315.33
230980,315.34
231050,315.35
231130,315.36
231200,315.37
231270,315.38
231340,315.39
231420,315.4
231490,315.41
231560,315.42
231640,315.43
231710,315.44
231780,315.45
231850,315.46
231930,315.47
232000,315.48
232070,315.49
232150,315.5
232220,315.51
232290,315.52
232360,315.53
232440,315.54
232510,315.55
232580,315.56
232660,315.57
232730,315.58
232800,315.59
232880,315.6
232950,315.61
233020,315.62
233100,315.63
233170,315.64
233240,315.65
233320,315.66
233390,315.67
233460,315.68
233540,315.69
233610,315.7
233680,315.71
233760,315.72
233830,315.73
233900,315.74
233980,315.75
234050,315.76
234120,315.77
234200,315.78
234270,315.79
234340,315.8
234420,315.81
234490,315.82
234560,315.83
234640,315.84
234710,315.85
234780,315.86
234860,315.87
234930,315.88
235000,315.89
235080,315.9
235150,315.91
235230,315.92
235300,315.93
235370,315.94
235450,315.95
235520,315.96
235590,315.97
235670,315.98
235740,315.99
235820,316
235890,316.01
235960,316.02
236040,316.03
236110,316.04
236180,316.05
236260,316.06
236330,316.07
236410,316.08
236480,316.09
236550,316.1
236630,316.11
236700,316.12
236780,316.13
236850,316.14
236930,316.15
237000,316.16
237070,316.17
237150,316.18
237220,316.19
237300,316.2
237370,316.21
237440,316.22
237520,316.23
237590,316.24
237670,316.25
237740,316.26
237820,316.27
237890,316.28
237960,316.29
238040,316.3
238110,316.31
238190,316.32
238260,316.33
238340,316.34
238410,316.35
238490,316.36
238560,316.37
238630,316.38
238710,316.39
238780,316.4
238860,316.41
238930,316.42
239010,316.43
239080,316.44
239160,316.45
239230,316.46
239310,316.47
239380,316.48
239450,316.49
239530,316.5
239600,316.51
239680,316.52
239750,316.53
239830,316.54
239900,316.55
239980,316.56
240050,316.57
240130,316.58
240200,316.59
240280,316.6
240350,316.61
240430,316.62
240500,316.63
240580,316.64
240650,316.65
240730,316.66
240800,316.67
240880,316.68
240950,316.69
241030,316.7
241100,316.71
241180,316.72
241250,316.73
241330,316.74
241400,316.75
241480,316.76
241550,316.77
241630,316.78
241700,316.79
241780,316.8
241850,316.81
241930,316.82
242010,316.83
242080,316.84
242160,316.85
242230,316.86
242310,316.87
242380,316.88
242460,316.89
242530,316.9
242610,316.91
242680,316.92
242760,316.93
242830,316.94
242910,316.95
242990,316.96
243060,316.97
243140,316.98
243210,316.99
243290,317
243360,317.01
243440,317.02
243520,317.03
243590,317.04
243670,317.05
243740,317.06
243820,317.07
243890,317.08
243970,317.09
244050,317.1
244120,317.11
244200,317.12
244270,317.13
244350,317.14
244420,317.15
244500,317.16
244580,317.17
244650,317.18
244730,317.19
244800,317.2
244880,317.21
244960,317.22
245030,317.23
245110,317.24
245180,317.25
245260,317.26
245340,317.27
245410,317.28
245490,317.29
245560,317.3
245640,317.31
245720,317.32
245790,317.33
245870,317.34
245950,317.35
246020,317.36
246100,317.37
246170,317.38
246250,317.39
246330,317.4
246400,317.41
246480,317.42
246560,317.43
246630,317.44
246710,317.45
246790,317.46
246860,317.47
246940,317.48
247020,317.49
247090,317.5
247170,317.51
247240,317.52
247320,317.53
247400,317.54
247470,317.55
247550,317.56
247630,317.57
247700,317.58
247780,317.59
247860,317.6
247930,317.61
248010,317.62
248090,317.63
248160,317.64
248240,317.65
248320,317.66
248400,317.67
248470,317.68
248550,317.69
248630,317.7
248700,317.71
248780,317.72
248860,317.73
248930,317.74
249010,317.75
249090,317.76
249160,317.77
249240,317.78
249320,317.79
249400,317.8
249470,317.81
249550,317.82
249630,317.83
249700,317.84
249780,317.85
249860,317.86
249940,317.87
250010,317.88
250090,317.89
250170,317.9
250240,317.91
250320,317.92
250400,317.93
