step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
56,8.4,7.921303792126152,157.73164014311152,30.59726565201788,-,0.012009760809384852,mix,0.8186162195984328,606.3385769306304,3589.8605614913686,20.0,0.018908895450540322,63.59437778504999,3589.8605614913686,0.10927359754563505,0.011772942480263282,51.03672953465651,103.05375227333576,485.4955599291535,1.1224910551276333
57,8.549999999999999,7.924893130609725,157.66802530173098,30.585488915391068,-,0.012011430973784506,mix,0.818673138972513,606.3761209011645,3653.4754028719035,20.0,0.01889821188170719,63.614841380543105,3653.4754028719035,0.11050100310205309,0.011776736626814,51.054286483702995,103.05375227333576,485.4955599291535,1.1224910551276333
58,8.7,7.928486407318077,157.60439013180405,30.573708389209457,-,0.012013101874667809,mix,0.8187300794862915,606.4208504456367,3717.110572798847,20.0,0.018887356419029472,63.63516992695129,3717.110572798847,0.11170420701750995,0.011780526181610185,51.07223246029668,103.05375227333576,485.4955599291535,1.1224910551276333
59,8.85,7.93208362045362,157.54073461024373,30.561924098482223,-,0.012014773508529595,mix,0.818787041015922,606.4656233960368,3780.766094359162,20.0,0.01887650006946278,63.65552156030832,3780.766094359162,0.11288320150278873,0.011784290727234747,51.09019682280667,103.05375227333576,485.4955599291535,1.1224910551276333
60,9.0,7.935684777165196,157.47705871397082,30.550136038934056,-,0.012016445876043967,mix,0.8188440235799868,606.5104397010721,3844.441990632069,20.0,0.01886564285929134,63.67589627289723,3844.441990632069,0.11403797882006467,0.01178805954816653,51.108179558307214,103.05375227333576,485.4955599291535,1.1224910551276333
61,9.15,7.93926847609529,157.41336241986318,30.5383442062909,-,0.0120181189778849,mix,0.8189010271970568,606.5552994212195,3908.138284739718,20.0,0.01885478478770766,63.696294107639254,3908.138284739718,0.11516853122272444,0.011791832643154976,51.12618069859341,103.05375227333576,485.4955599291535,1.1224910551276333
62,9.299999999999999,7.942855834664115,157.3496456434059,30.52654859627097,-,0.012019792798295492,mix,0.8189580513259445,606.5909194727549,3971.855061197013,20.0,0.018844177371701375,63.71677645729693,3971.855061197013,0.11627485094799185,0.011795610019930791,51.14361115463492,103.05375227333576,485.4955599291535,1.1224910551276333
63,9.45,7.946447113008406,157.28590836093875,30.514749193223338,-,0.012021467339356544,mix,0.8190150960332471,606.6264703390532,4035.592343664146,20.0,0.018833571895718174,63.73728246713339,4035.592343664146,0.11735693023190327,0.011799403047632495,51.16105254747043,103.05375227333576,485.4955599291535,1.1224910551276333
64,9.6,7.95004231825979,157.222150549457,30.502945992766456,-,0.01202314260173229,mix,0.8190721613372907,606.6620604459241,4099.35015514589,20.0,0.018822965412234622,63.7578114817414,4099.35015514589,0.1184147612784174,0.011803200456881768,51.17851179766474,103.05375227333576,485.4955599291535,1.1224910551276333
65,9.75,7.953657787212295,157.15837218591304,30.491138990640195,-,0.012024818586069656,mix,0.8191292472558046,606.6976898479526,4163.12851868986,20.0,0.018812357920333717,63.77836354396299,4163.12851868986,0.11944833628248623,0.011807002126261068,51.19598893620376,103.05375227333576,485.4955599291535,1.1224910551276333
66,9.9,7.957282664308311,157.09457312977864,30.479328182576523,-,0.012026495289794827,mix,0.8191863536968215,606.7327305923075,4226.927574824251,20.0,0.01880173483229959,63.7990561343986,4226.927574824251,0.12045764742984957,0.01181080806367163,51.213194248665914,103.05375227333576,485.4955599291535,1.1224910551276333
67,10.049999999999999,7.960911538604403,157.0307533186314,30.467513542551615,-,0.012028172715589976,mix,0.8192434807473916,606.7676019521826,4290.747385971481,20.0,0.018791105884644208,63.819811147239335,4290.747385971481,0.12144268689780327,0.01181464002490884,51.23032092102206,103.05375227333576,485.4955599291535,1.1224910551276333
68,10.2,7.964544419627688,156.96691272898386,30.455695059005848,-,0.012029850865144734,mix,0.8193006284607404,606.8025128657353,4354.587975619041,20.0,0.018780475909801815,63.840589647568606,4354.587975619041,0.1224034468103157,0.011818483545766867,51.247465325980784,103.05375227333576,485.4955599291535,1.1224910551276333
69,10.35,7.968169984823062,156.90305133729183,30.44387272758962,-,0.012031529739119884,mix,0.8193577968550445,606.8374634090625,4418.4493673110555,20.0,0.01876984490039556,63.8613916920281,4418.4493673110555,0.12333991926759734,0.011822331416226461,51.26462750492161,103.05375227333576,485.4955599291535,1.1224910551276333
70,10.5,7.971789007032984,156.83916920140774,30.432046543942988,-,0.012033209342250396,mix,0.8194149860871919,606.8728874755217,4482.331503195164,20.0,0.01875922294929249,63.88213588411619,4482.331503195164,0.12425209636120162,0.011826183646633126,51.282008001593034,103.05375227333576,485.4955599291535,1.1224910551276333
71,10.65,7.975412011983664,156.7752663736156,30.420216518779227,-,0.012034889676836294,mix,0.8194721962311257,606.9087545767131,4546.234330987296,20.0,0.018748609339648593,63.902827792145466,4546.234330987296,0.12513997017367737,0.011830025163760638,51.29959294890761,103.05375227333576,485.4955599291535,1.1224910551276333
72,10.799999999999999,7.9790390026316675,156.71134283053897,30.408382661780706,-,0.012036570741539517,mix,0.8195294272369145,606.9446614642236,4610.157874063938,20.0,0.018737994689764486,63.923543076638374,4610.157874063938,0.1260035328093162,0.011833856998521242,51.31719602941693,103.05375227333576,485.4955599291535,1.1224910551276333
73,10.95,7.982669986238868,156.64739854878235,30.396544968618343,-,0.012038252537021217,mix,0.8195866791226941,606.9806081507656,4674.102155820554,20.0,0.018727379011421883,63.944281756622665,4674.102155820554,0.1268427763923049,0.011837693162362939,51.33481725372097,103.05375227333576,485.4955599291535,1.1224910551276333
74,11.1,7.986304971364757,156.58343342014163,30.384703434959704,-,0.012039935067803702,mix,0.8196439520380222,607.0172086097324,4738.067284461256,20.0,0.018716747943436425,63.965128640709125,4738.067284461256,0.12765769303829025,0.011841533658639491,51.35237190962142,103.05375227333576,485.4955599291535,1.1224910551276333
75,11.25,7.989943973248137,156.51944721522034,30.37285804076697,-,0.012041618346171573,mix,0.8197012463966113,607.0553393216439,4802.053489382553,20.0,0.018706081007604448,63.9862049213023,4802.053489382553,0.12844827485447785,0.011845394192732783,51.36973893974218,103.05375227333576,485.4955599291535,1.1224910551276333
76,11.4,7.993587010963178,156.45543991011627,30.361008743559353,-,0.012043302378251384,mix,0.8197585624024755,607.0935111168195,4866.060794486635,20.0,0.018695413013705416,64.00730510409336,4866.060794486635,0.12921451390599567,0.011849297207618292,51.38712394534646,103.05375227333576,485.4955599291535,1.1224910551276333
77,11.549999999999999,7.997234091916118,156.39141148081444,30.349155538910452,-,0.012044987164740424,mix,0.8198159000748038,607.1317241765225,4930.08922378844,20.0,0.01868474392651126,64.02842930180638,4930.08922378844,0.12995640217066934,0.011853204648900828,51.404527013789476,103.05375227333576,485.4955599291535,1.1224910551276333
78,11.7,8.000885223222035,156.3273619387421,30.337298422373067,-,0.012046672705392947,mix,0.8198732594006882,607.1703172516513,4994.138765860815,20.0,0.01867406147405818,64.04954207238461,4994.138765860815,0.1306739316173998,0.011857116537385082,51.42202451657603,103.05375227333576,485.4955599291535,1.1224910551276333
79,11.85,8.00454040620081,156.2632917226895,30.325437396063364,-,0.012048358987626635,mix,0.8199306399474503,607.213369037417,5058.208981913398,20.0,0.018663218016783802,64.07021605259027,5058.208981913398,0.13136709420795498,0.011861026309702538,51.44053608232017,103.05375227333576,485.4955599291535,1.1224910551276333
80,12.0,8.008199621842804,156.19920080888554,30.313572541238784,-,0.012050045999891769,mix,0.8199880413176642,607.2564643937242,5122.299895717355,20.0,0.018652373677019392,64.0909138039455,5122.299895717355,0.1320358819061003,0.011864854824580107,51.45906684903762,103.05375227333576,485.4955599291535,1.1224910551276333
81,12.15,8.011862877536341,156.1350891736641,30.301703853497315,-,0.012051733742859606,mix,0.8200454635297947,607.299603069446,5186.411530938785,20.0,0.01864152853245947,64.11163522143126,5186.411530938785,0.13268028684258584,0.011868687741468875,51.477616716258,103.05375227333576,485.4955599291535,1.1224910551276333
82,12.299999999999999,8.015530180680276,156.07095679331465,30.28983132845633,-,0.012053422217198656,mix,0.820102906602206,607.342785125294,5250.54391128823,20.0,0.01863068258228923,64.13238034944452,5250.54391128823,0.13330030113911268,0.011872525040985238,51.49618571734386,103.05375227333576,485.4955599291535,1.1224910551276333
83,12.45,8.019201536443234,156.00680345664682,30.27795496172496,-,0.012055111416815822,mix,0.8201603703232455,607.3793441657314,5314.6972479560645,20.0,0.018620035989310033,64.15333666784075,5314.6972479560645,0.13389591690552807,0.01187636673137149,51.513671984019744,103.05375227333576,485.4955599291535,1.1224910551276333
84,12.6,8.022876962629445,155.94262910843992,30.26607471419385,-,0.012056801346197516,mix,0.8202178548411775,607.4148264545603,5378.871596162964,20.0,0.018609421963984876,64.17434820691321,5378.871596162964,0.13446712624527335,0.011880247531109944,51.530991623544416,103.05375227333576,485.4955599291535,1.1224910551276333
85,12.75,8.026556468519386,155.8784337247782,30.25419057563704,-,0.012058492006842735,mix,0.820275360202614,607.4503491112048,5443.066979824682,20.0,0.01859880691888257,64.19538366170701,5443.066979824682,0.13501392118191216,0.01188413855680892,51.548329290539805,103.05375227333576,485.4955599291535,1.1224910551276333
86,12.9,8.03033187090328,155.8142172816907,30.24200648553426,-,0.012060225635868747,mix,0.8203343228848918,607.4859122093462,5507.28342291218,20.0,0.018588190847940566,64.21644308749589,5507.28342291218,0.13553629371799095,0.0121840901027781,51.56568502506977,103.05375227333576,485.4955599291535,1.1224910551276333
87,13.049999999999999,8.034161582037749,155.74997923778523,30.229657169555935,-,0.012061983021395392,mix,0.8203940892273814,607.5243904828124,5571.521466817678,20.0,0.01857730048033049,64.23804390551035,5571.521466817678,0.13603362743999362,0.012349315978326558,51.58389858885904,103.05375227333576,485.4955599291535,1.1224910551276333
88,13.2,8.037995699938971,155.68571928596145,30.21730369957413,-,0.012063741189711425,mix,0.8204538778348798,607.5644773299334,5635.781418641447,20.0,0.01856626036204395,64.2599518237744,5635.781418641447,0.13650558280080208,0.012353469981803755,51.60258900198877,103.05375227333576,485.4955599291535,1.1224910551276333
