step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
80,12.0,0.0017814487838446887,10.082286209998182,30.0,995.605,0.0003792435295442727,liq,0.0,2.0283052667073207,2.0283052667073207,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
81,12.15,0.0017814487838446887,10.082261169192419,30.0,995.605,0.0003792435295442727,liq,0.0,2.0533460724691395,2.0533460724691395,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
82,12.299999999999999,0.0017814487838446887,10.082236128386658,30.0,995.605,0.0003792435295442727,liq,0.0,2.0783868782309582,2.0783868782309582,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
83,12.45,0.0017814487838446887,10.082211087580896,30.0,995.605,0.0003792435295442727,liq,0.0,2.103427683992777,2.103427683992777,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
84,12.6,0.0017814487838446887,10.082186046775135,30.0,995.605,0.0003792435295442727,liq,0.0,2.128468489754596,2.128468489754596,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
85,12.75,0.0017814487838446887,10.082161005969372,30.0,995.605,0.0003792435295442727,liq,0.0,2.1535092955164146,2.1535092955164146,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
86,12.9,0.0017814487838446887,10.08213596516361,30.0,995.605,0.0003792435295442727,liq,0.0,2.1785501012782333,2.1785501012782333,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
87,13.049999999999999,0.0017814487838446887,10.082110924357849,30.0,995.605,0.0003792435295442727,liq,0.0,2.203590907040052,2.203590907040052,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
88,13.2,0.0017814487838446887,10.082085883552088,30.0,995.605,0.0003792435295442727,liq,0.0,2.228631712801871,2.228631712801871,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
89,13.35,0.0017814487838446887,10.082060842746325,30.0,995.605,0.0003792435295442727,liq,0.0,2.2536725185636897,2.2536725185636897,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
90,13.5,0.0017814487838446887,10.082035801940563,30.0,995.605,0.0003792435295442727,liq,0.0,2.2787133243255084,2.2787133243255084,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
91,13.65,0.0017814487838446887,10.082010761134802,30.0,995.605,0.0003792435295442727,liq,0.0,2.303754130087327,2.303754130087327,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
92,13.799999999999999,0.0017814487838446887,10.08198572032904,30.0,995.605,0.0003792435295442727,liq,0.0,2.328794935849146,2.328794935849146,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
93,13.95,0.0017814487838446887,10.081960679523277,30.0,995.605,0.0003792435295442727,liq,0.0,2.3538357416109648,2.3538357416109648,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
94,14.1,0.0017814487838446887,10.081935638717516,30.0,995.605,0.0003792435295442727,liq,0.0,2.3788765473727835,2.3788765473727835,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
95,14.25,0.0017814487838446887,10.081910597911754,30.0,995.605,0.0003792435295442727,liq,0.0,2.4039173531346023,2.4039173531346023,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
96,14.399999999999999,0.0017814487838446887,10.081885557105993,30.0,995.605,0.0003792435295442727,liq,0.0,2.428958158896421,2.428958158896421,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
97,14.549999999999999,0.0017814487838446887,10.08186051630023,30.0,995.605,0.0003792435295442727,liq,0.0,2.45399896465824,2.45399896465824,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
98,14.7,0.0017814487838446887,10.081835475494469,30.0,995.605,0.0003792435295442727,liq,0.0,2.4790397704200586,2.4790397704200586,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
99,14.85,0.0017814487838446887,10.081810434688707,30.0,995.605,0.0003792435295442727,liq,0.0,2.5040805761818774,2.5040805761818774,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
100,15.0,0.0017814487838446887,10.081785393882946,30.0,995.605,0.0003792435295442727,liq,0.0,2.529121381943696,2.529121381943696,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
